0,구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59
1,개화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,김포공항,1.654,4.548,7.8100000000000005,19.247999999999998,25.398,41.312,39.31999999999999,19.326,13.174000000000001,9.463999999999999,8.732000000000001,8.585999999999999,8.873999999999999,8.586,9.517999999999999,8.782,7.965999999999999,7.952,11.73,9.292,8.164,7.414,7.736,7.612,10.306000000000001,13.901999999999997,14.594,8.322,8.796000000000001,7.862,6.465999999999999,6.388,6.1,8.664,17.312,8.991999999999999,2.726
3,공항시장,4.619999999999999,6.045999999999999,9.576,22.166000000000004,30.252000000000002,47.367999999999995,44.053999999999995,22.218,17.823999999999998,11.068000000000001,9.994,9.612,9.624,9.572,10.489999999999998,9.776,9.690000000000001,9.435999999999998,12.266,11.044,8.754,8.122,7.57,8.702,9.236,13.806000000000001,13.437999999999999,8.316,8.373999999999999,7.517999999999999,6.337999999999999,6.1899999999999995,5.944,5.65,15.2,9.032,2.342
4,신방화,11.95,12.435999999999998,15.918000000000001,35.672000000000004,49.122,65.53200000000001,56.464,30.812,26.242,17.363999999999997,15.565999999999999,15.301999999999998,12.818000000000001,14.76,15.026,14.882,13.776,11.974,15.146,15.012,12.334,9.178,11.798000000000002,11.930000000000001,11.2,16.254,14.580000000000002,8.663999999999998,8.638,8.569999999999999,7.228,7.364,6.812,6.312,14.568000000000001,9.374,2.318
5,마곡나루,3.7600000000000002,8.437999999999999,12.07,27.403999999999996,36.996,52.67,61.13000000000001,30.57,24.634,13.788,13.134,13.041999999999998,10.872,10.806000000000001,13.395999999999997,12.724,12.120000000000001,11.239999999999998,14.382,13.858,11.790000000000001,10.193999999999999,11.492,12.266,11.648,19.875999999999998,18.716,11.018000000000002,10.373999999999999,9.806000000000001,8.032,9.342,8.57,8.202000000000002,22.68,16.892,3.5700000000000003
6,양천향교,7.444000000000001,11.290000000000001,16.72,40.354,53.166,64.466,61.315999999999995,36.510000000000005,28.476,17.614,16.85,16.984,14.24,15.892,18.139999999999997,17.564,15.815999999999999,15.368,17.668,20.192,15.842000000000002,14.098000000000003,16.182,19.746000000000002,18.266,35.298,23.27,14.908000000000001,10.936,12.318,10.032,10.66,9.386000000000001,8.99,21.651999999999997,18.970000000000002,5.494000000000001
7,가양,5.168,10.41,17.055999999999997,36.010000000000005,46.144000000000005,63.513999999999996,60.48199999999999,34.314,27.494,16.052,13.962,14.591999999999999,12.540000000000001,12.633999999999999,16.25,14.12,12.898,11.780000000000001,14.945999999999998,15.040000000000001,13.610000000000003,9.517999999999999,13.428,15.782,13.959999999999999,23.151999999999997,19.637999999999998,11.14,6.228,8.14,6.322,6.546000000000001,6.6240000000000006,5.35,22.4,18.064,5.336
8,증미,8.282,12.2,19.114000000000004,41.288000000000004,57.620000000000005,70.28,62.010000000000005,38.614,28.526,17.88,15.804000000000002,17.195999999999998,15.080000000000002,14.724,18.454,16.878,14.947999999999999,13.646,16.168,17.038,14.079999999999998,12.297999999999998,15.795999999999998,20.792,19.76,39.028,25.28,13.697999999999999,8.126000000000001,9.244,6.822,6.781999999999999,6.913999999999999,5.247999999999999,18.326,17.592000000000002,4.824
9,등촌,14.63,18.526,27.320000000000004,60.538,88.05,105.16,88.106,60.686,38.178,24.005999999999997,20.508,20.43,18.682,17.996,21.848,19.93,17.038,15.181999999999999,16.564,18.302,15.657999999999998,13.49,17.162,23.962,21.119999999999997,42.222,25.73,13.690000000000001,8.18,8.767999999999999,7.845999999999999,7.128,6.3500000000000005,6.575999999999999,17.839999999999996,15.501999999999999,3.618
10,염창,15.301999999999998,16.918,30.9,64.352,101.944,124.30199999999999,103.44000000000001,70.648,43.646,27.676,23.386,22.560000000000002,20.035999999999998,19.364,23.256,21.456,18.46,16.035999999999998,17.18,18.666,15.644,14.376,18.201999999999998,25.112000000000002,21.906,42.952000000000005,27.529999999999994,14.416,9.279999999999998,9.9,8.532,7.609999999999999,6.546000000000001,6.876,18.722,18.894,3.844
11,신목동,17.328,21.14,36.384,68.192,111.12,136.10399999999998,114.022,79.418,47.827999999999996,32.378,26.874000000000002,25.268,22.282,22.928000000000004,25.137999999999998,23.267999999999997,20.51,18.432000000000002,18.576,20.864,18.944,15.972,21.244,25.7,24.428,43.24,31.571999999999996,15.584,10.072,10.528,9.006,8.634,7.386,7.572,15.892000000000001,22.192,4.34
12,선유도,20.583999999999996,18.828,37.20399999999999,66.634,121.45599999999999,145.43599999999998,123.73799999999999,85.022,56.162,37.230000000000004,29.618000000000002,28.291999999999994,24.768,26.75,29.868000000000002,28.477999999999998,24.375999999999998,22.060000000000002,20.272000000000002,24.243999999999996,23.72,20.291999999999998,27.438,33.936,36.468,71.38000000000001,44.13199999999999,23.102,13.907999999999998,13.842000000000002,12.291999999999998,11.669999999999998,9.414,9.718,17.314,26.594,7.468000000000001
13,당산,20.51,20.154000000000003,37.706,64.62199999999999,120.922,140.594,152.594,96.444,69.49199999999999,39.176,31.01,28.712,27.308,27.174,32.775999999999996,29.474,26.584000000000003,21.732000000000003,20.586000000000002,23.506,22.113999999999997,19.548,22.398,23.419999999999998,27.991999999999997,46.058,33.91799999999999,18.950000000000003,11.898,11.543999999999999,11.516,10.456,10.371999999999998,9.906,17.842000000000002,29.264,13.646
14,국회의사당,18.378000000000004,18.364,33.206,51.489999999999995,95.874,103.726,85.324,66.208,48.824,32.604,29.700000000000006,27.558000000000003,28.46,30.907999999999998,33.128,34.104000000000006,29.920000000000005,27.056,28.134000000000004,34.156000000000006,32.774,33.732,32.44199999999999,47.352,59.232000000000006,117.48599999999999,69.756,40.272,23.232000000000003,21.628,22.718,21.642000000000003,17.972,19.932,22.664,33.327999999999996,15.5
15,여의도,14.002,20.022,29.953999999999997,36.402,57.67999999999999,76.83,53.007999999999996,63.408,42.09400000000001,33.418,30.091999999999995,28.342000000000002,28.815999999999995,32.932,31.731999999999992,36.468,31.866000000000003,29.619999999999997,30.22,35.6,35.536,41.53,35.456,46.583999999999996,54.516,89.576,65.846,29.677999999999997,18.784,18.838,21.220000000000002,17.880000000000003,15.825999999999999,18.642000000000003,28.544,42.2,18.142
16,샛강,13.356,17.903999999999996,28.133999999999997,33.124,49.903999999999996,69.938,44.41799999999999,54.75,38.256,34.512,28.119999999999997,28.447999999999997,28.962,32.486000000000004,32.736000000000004,37.942,32.616,31.158000000000005,31.421999999999997,38.77,37.967999999999996,45.976,33.788,52.152,60.698,101.36,86.578,36.62,23.9,21.323999999999998,24.163999999999998,21.282000000000004,18.3,19.898000000000003,21.887999999999998,42.896,17.312
17,노량진,19.6,27.662,33.33800000000001,39.81,64.724,103.018,65.78399999999999,72.59799999999998,47.684,40.042,32.434,30.266000000000002,29.579999999999995,30.724,34.486,40.11,35.732000000000006,32.066,32.616,35.019999999999996,36.364000000000004,44.08200000000001,33.286,47.355999999999995,53.065999999999995,79.94,78.76200000000001,33.403999999999996,21.508,19.43,21.612000000000002,20.298,18.236,18.538,24.65,43.238,14.589999999999998
18,노들,23.548,29.894000000000005,36.79600000000001,44.488,71.33200000000001,111.674,70.598,76.06800000000001,54.652,42.622,34.418,31.671999999999997,31.45,32.208,36.166,40.492000000000004,36.916000000000004,33.467999999999996,33.446000000000005,35.508,35.942,42.398,36.34400000000001,46.232000000000006,50.744,74.166,75.174,31.532,19.956,17.802,19.916,18.536,16.76,17.69,24.294,42.082,14.738
19,흑석,25.282000000000004,28.45,38.574,44.565999999999995,69.124,108.196,73.874,77.022,58.492,44.120000000000005,33.285999999999994,36.074,33.21,34.548,36.444,40.228,36.442,34.55,33.472,37.002,37.39,41.87,37.842,45.568,54.112,70.86800000000001,78.696,35.257999999999996,19.426,17.262,19.194,18.854,16.759999999999998,17.116,22.704,44.724000000000004,22.994
20,동작,9.110000000000001,22.086000000000002,25.44,43.718,67.128,107.17800000000003,84.814,78.912,48.484,28.794,23.351999999999997,22.69,22.322,22.258,23.244000000000003,27.386000000000003,27.042,23.426,21.348,23.308,24.296,26.03,22.901999999999997,33.589999999999996,44.797999999999995,50.892,68.33200000000001,30.014,17.552,13.41,15.540000000000001,15.678,12.974,13.697999999999999,14.486,41.336,21.774
21,구반포,4.77,19.130000000000003,23.678000000000004,38.1,61.158,105.404,81.59400000000001,76.44399999999999,52.93000000000001,30.290000000000003,21.812,21.458,21.336000000000002,21.348000000000003,22.168,27.02,25.74,22.573999999999998,21.062,21.378,24.058,25.503999999999998,21.982,33.772000000000006,44.118,48.852000000000004,66.4,28.830000000000002,16.392,12.856,14.854000000000003,14.5,13.790000000000001,12.39,10.620000000000001,36.128,20.116
22,신반포,4.885999999999999,14.053999999999998,17.708,36.62,61.29600000000001,105.47999999999999,81.91,76.762,60.870000000000005,32,23.018,23.48,22.389999999999997,22.454,23.622,27.884000000000004,26.95,23.758,22.4,23.426000000000002,26.582,27.767999999999994,27.886000000000003,38.552,46.971999999999994,51.58,66.93,29.916000000000004,17.752000000000002,14.249999999999996,16.156,15.960000000000003,14.672,13.356,12.478,37.19199999999999,21.02
23,고속터미널,4.38,13.081999999999999,16.174,25.834000000000003,41.4,67.56800000000001,56.21400000000001,62.407999999999994,60.108000000000004,32.208,24.256,20.062,22.163999999999998,21.928,22.599999999999998,26.034,26.291999999999994,23.664,23.048,21.64,26.817999999999994,26.898000000000003,25.458,33.076,38.205999999999996,41.872,56.188,31.509999999999998,18.722,14.91,15.894,15.328,14.280000000000001,13.488,12.584,34.814,17.509999999999998
24,사평,3.668,12.4,15.62,22.536,37.718,64.974,62.68399999999999,58.29600000000001,60.489999999999995,30.894,22.833999999999996,19.192,20.849999999999998,20.34,20.784,24.034000000000002,26.464,22.216,21.286,20.387999999999998,25.125999999999998,24.912,23.470000000000002,32.182,34.536,36.59599999999999,50.584,27.688,17.169999999999998,12.094,13.488,13.778,12.7,11.33,10.504000000000001,26.294,9.559999999999999
25,신논현,2.8419999999999996,12.226,15.306000000000001,25.532,43.402,71.73800000000001,71.48599999999999,60.016,62.36800000000001,32.42,25.426,19.47,20.822000000000003,18.892000000000003,23.009999999999998,25.676,26.034,22.088,21.48,19.247999999999998,26.227999999999998,26.110000000000003,26.372000000000003,29.244,33.42,37.178,46.75600000000001,29.351999999999997,18.492,14.053999999999998,14.708000000000002,16.406,14.751999999999999,14.736,14.572,24.583999999999996,28.224
26,언주,1.984,8.594000000000001,8.53,17.904,27.622000000000003,45.525999999999996,44.664,38.936,48.642,23.282000000000004,18.432,15.738,18.695999999999998,16.604,18.654,20.866000000000003,21.27,19.796,18.972,17.392000000000003,24.241999999999997,25.857999999999997,27.607999999999997,33.498000000000005,34.784,48.49,51.956,36.44199999999999,20.253999999999998,14.842000000000002,15.145999999999997,17.589999999999996,14.723999999999998,15.266,14.144,21.318,27.345999999999997
27,선정릉,2.6420000000000003,7.4,9.41,18.456,28.044,44.016000000000005,49.754,36.324,36.916,22.234,18.824,15.844,18.762,16.445999999999998,19.642,19.93,20.689999999999998,19.088,18.3,17.052,22.642,24.296,27.976,27.826,33.664,48.001999999999995,52.034000000000006,37.45,21.418,16.538,16.972,19.270000000000003,16.195999999999998,16.601999999999997,14.038,27.872000000000003,30.134000000000004
28,삼성중앙,2.604,5.234,5.602,10.398,17.222,29.619999999999997,26.345999999999997,19.246000000000002,21.166000000000004,15.078,13.49,11.712,13.854,13.846,15.936000000000002,16.314,16.802,17.3,15.542000000000002,15.132,19.09,22.598000000000003,25.506000000000004,27.51,33.25,46.886,50.86,36.620000000000005,22.086000000000002,17.195999999999998,16.838,19.586000000000002,15.988,16.79,13.778,19.483999999999998,25.915999999999997
29,봉은사,3.078,4.588,4.534000000000001,7.663999999999999,10.72,19.362000000000002,15.362,11.398,12.286000000000001,9.831999999999999,10.212,8.413999999999998,10.202000000000002,11.058000000000002,13.447999999999999,12.777999999999999,13.330000000000002,14.459999999999999,14.260000000000002,13.959999999999999,18.18,21.798,24.612000000000002,24.348,37.24399999999999,52.93399999999999,54.586,40.924,26.012,19.312,19.339999999999996,20.756,18.918,18.68,15.516,19.785999999999994,24.839999999999996
30,종합운동장,3.3520000000000003,5.366,6.862,9.044,10.544,20.272,18.359999999999996,12.916,15.256,12.196,11.754,9.9,11.937999999999999,12.38,14.156,14.695999999999998,15.342000000000002,15.642,15.866,15.459999999999999,20.168,24.137999999999998,25.874000000000002,26.974,40.894,56.202,66.852,49.379999999999995,32.93,24.753999999999998,23.125999999999998,24.82,23.924,23.836000000000002,19.43,23.43,30.436
31,삼전,4.258,5.09,6.572000000000001,9.702,11.676,21.522,16.978,11.83,13.012,11.016,10.648,8.848,9.308000000000002,11.514,12.868,12.066,14.276,14.145999999999997,14.434000000000001,12.686000000000002,17.262,20.69,21.142000000000003,23.169999999999998,32.42,43.54,52.684000000000005,37.056,25.714,17.926,16.46,19.324,17.221999999999998,17.589999999999996,14.91,15.922000000000002,23.774
32,석촌고분,5.68,5.442,6.255999999999999,11.472000000000001,12.464,22.276,15.614,11.11,10.914,10.28,9.596,8.402,8.554,11.2,11.794,10.454,12.540000000000001,13.094,12.620000000000001,11.23,15.248,20.31,19.142000000000003,20.35,29.803999999999995,39.6,43.824,29.732,19.274,13.456,12.28,15.118,12.580000000000002,14.002,10.756,12.648,19.602
